Time, TractLim, Alpha, WheelVel, Force, Acc, CarVel, slip, torque, PID, error, dist
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.020000, 686.700000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 230.000000, 1.815343, 0.099900, 0.000000
0.040000, 686.700000, 22.755467, 0.080918, 1293.588301, 4.578000, 0.091560, -0.131510, 230.000000, 2.487623, 0.231510, 0.000916
0.060000, 686.715036, 22.754903, 0.161835, 1293.588301, 4.578100, 0.183122, -0.131536, 56.827373, 0.247076, 0.231536, 0.003662
0.080000, 686.760144, 11.984028, 0.204450, 319.614021, 2.130760, 0.225737, -0.104119, -45.086894, -0.196030, 0.204119, 0.007751
0.100000, 686.791393, -9.508140, 0.170639, -253.582081, -1.690547, 0.191926, -0.124749, 162.443450, 0.706276, 0.224749, 0.011928
0.120000, 686.766066, 8.506342, 0.200888, 913.630204, 4.578440, 0.283495, -0.411212, 230.000000, 5.605695, 0.511212, 0.016682
0.140000, 686.844145, 22.750062, 0.281787, 1293.588301, 4.578961, 0.375074, -0.331056, -167.194701, -0.726933, 0.431056, 0.023268
0.160000, 686.952315, -35.258817, 0.156407, -940.352648, -6.269018, 0.249694, -0.596442, 230.000000, 5.597703, 0.696442, 0.029515
0.180000, 686.811821, 22.751274, 0.237310, 1293.588301, 4.578745, 0.341269, -0.438071, -401.111431, -1.743963, 0.538071, 0.035425
0.200000, 686.908882, -84.588294, -0.063486, -2255.969805, -15.039799, 0.040473, 1.637510, -8410.615954, -36.567895, -1.537510, 0.039242
0.220000, 686.702938, -1773.670857, -6.370659, -47303.801765, -315.358678, -6.266701, 0.016318, 230.000000, 28.741635, 0.083682, -0.023020
0.240000, 757.134547, 20.114501, -6.299132, 1293.588301, 5.047564, -6.165749, 0.021175, 88.246328, 0.383680, 0.078825, -0.147344
0.260000, 754.883543, 18.609807, -6.232956, 496.323555, 3.308824, -6.099573, 0.021400, 111.149157, 0.483257, 0.078600, -0.269998
0.280000, 753.427780, 23.439665, -6.149604, 625.135866, 4.167572, -6.016221, 0.021690, 115.177948, 0.500774, 0.078310, -0.391156
0.300000, 751.616554, 24.289276, -6.063232, 647.794985, 4.318633, -5.929849, 0.021999, 119.373436, 0.519015, 0.078001, -0.510616
0.320000, 749.765968, 25.174040, -5.973713, 671.391653, 4.475944, -5.840330, 0.022328, 123.541383, 0.537136, 0.077672, -0.628318
0.340000, 747.876213, 26.052997, -5.881068, 694.833428, 4.632223, -5.747685, 0.022680, 127.681875, 0.555139, 0.077320, -0.744198
0.360000, 745.950744, 26.926164, -5.785319, 718.120782, 4.787472, -5.651936, 0.023055, 131.792814, 0.573012, 0.076945, -0.858195
0.380000, 743.993097, 27.793098, -5.686487, 741.241922, 4.941613, -5.553104, 0.023456, 135.871935, 0.590748, 0.076544, -0.970245
0.400000, 742.006911, 0.831541, -5.683530, 764.184112, 4.946713, -5.454170, 0.040355, 71.076064, 0.309026, 0.059645, -1.080318
0.420000, 740.053767, 14.988860, -5.630229, 399.752890, 2.665019, -5.400869, 0.040737, 140.596369, 0.611289, 0.059263, -1.188868
0.440000, 739.016072, 1.939995, -5.623331, 790.755729, 4.926774, -5.302334, 0.057083, 77.084189, 0.335149, 0.042917, -1.295900
0.460000, 737.124538, 16.255882, -5.565525, 433.544369, 2.890296, -5.244528, 0.057676, 142.579144, 0.619909, 0.042324, -1.401369
0.480000, 736.031077, 2.470055, -5.556741, 801.907445, 4.906874, -5.146390, 0.073847, 79.706937, 0.346552, 0.026153, -1.505278
0.500000, 734.202149, 16.808980, -5.496969, 448.295483, 2.988637, -5.086618, 0.074650, 142.698561, 0.620429, 0.025350, -1.607608
0.520000, 733.105130, 2.604948, -5.487705, 802.579084, 4.887368, -4.988870, 0.090900, 79.404001, 0.345235, 0.009100, -1.708363
0.540000, 731.338771, 16.745095, -5.428160, 446.591681, 2.977278, -4.929325, 0.091898, 140.958414, 0.612863, 0.008102, -1.807545
0.560000, 730.279542, 2.343923, -5.419825, 792.791982, 4.868530, -4.831954, 0.108467, 76.157756, 0.331121, -0.008467, -1.905158
